类型,类型说明,中文名称,技术ID,原始标识,分类,使用用途,调用方式,源版本,目录
agent,Agent 内容能力,发布前检查清单助手,clipmind-agent-publish-checklist,publish-checklist,发布与投放,"把待发布内容转成发布前人工检查清单。会检查标题、封面、正文、素材授权、平台适配、风险表达和发布后监控点,只做准备建议不自动发布。",$clipmind-agent-publish-checklist,2026.05.18,skills/clipmind-agent-publish-checklist/
agent,Agent 内容能力,发布排期顾问,clipmind-agent-launch-advisor,launch-advisor,发布与投放,"为待发布内容设计平台适配、发布时间窗口、标题版本和发布前检查。需要内容稿、平台目标和历史表现,会给出排期建议和发布后观察重点,不自动发布。",$clipmind-agent-launch-advisor,2026.05.18,skills/clipmind-agent-launch-advisor/
agent,Agent 内容能力,多平台发布准备助手,clipmind-agent-multi-platform-publish-prep,multi-platform-publish-prep,发布与投放,"把一条已确认内容整理成多平台发布前准备清单。需要内容稿、平台列表和发布时间约束,会输出版本差异、检查清单和人工发布建议。",$clipmind-agent-multi-platform-publish-prep,2026.05.18,skills/clipmind-agent-multi-platform-publish-prep/
agent,Agent 内容能力,平台偏好分析助手,clipmind-agent-platform-preference-analysis,platform-preference-analysis,发布与投放,"分析不同平台对标题、开头、结构、内容长度和互动方式的偏好。需要样本和目标平台,会输出平台差异、适配建议和验证动作。",$clipmind-agent-platform-preference-analysis,2026.05.18,skills/clipmind-agent-platform-preference-analysis/
agent,Agent 内容能力,投放数据分析顾问,clipmind-agent-monitor-analyst,monitor-analyst,发布与投放,"解读 2h、24h、72h 的曝光、互动、转化和反馈数据。需要监控数据和发布目标,会输出表现判断、异常原因、补数需求和人工下一步动作。",$clipmind-agent-monitor-analyst,2026.05.18,skills/clipmind-agent-monitor-analyst/
agent,Agent 内容能力,热点监控助手,clipmind-agent-hotspot-monitoring-plan,hotspot-monitoring-plan,发布与投放,"设计人工可执行的热点监控策略。需要行业、平台、关键词和风险边界,会输出监控主题、样本记录表、响应分级和人工处理建议。",$clipmind-agent-hotspot-monitoring-plan,2026.05.18,skills/clipmind-agent-hotspot-monitoring-plan/
agent,Agent 内容能力,自动投流建议助手,clipmind-agent-ad-spend-recommendation,ad-spend-recommendation,发布与投放,"基于内容目标、监控数据和预算约束生成投流建议草案。第一批只做建议和人工检查清单,不会自动调整预算、创建计划或执行投放。",$clipmind-agent-ad-spend-recommendation,2026.05.18,skills/clipmind-agent-ad-spend-recommendation/
agent,Agent 内容能力,AI 配图文案助手,clipmind-agent-ai-visual-copy-brief,ai-visual-copy-brief,图文与笔记,"把内容主题转成配图方向、画面关键词、图文卡标题和视觉文案 brief。适合给设计或图片生成工具做输入,第一批只输出方案和文案,不直接生成图片。",$clipmind-agent-ai-visual-copy-brief,2026.05.18,skills/clipmind-agent-ai-visual-copy-brief/
agent,Agent 内容能力,小红书图文生成助手,clipmind-agent-xhs-graphic-note,xhs-graphic-note,图文与笔记,"把主题、目标用户和素材线索整理成一篇小红书图文笔记方案。会给出封面标题、6-10 页分镜、正文、话题标签和素材清单,适合从想法快速进入可拍可排的草案。",$clipmind-agent-xhs-graphic-note,2026.05.18,skills/clipmind-agent-xhs-graphic-note/
agent,Agent 内容能力,小红书评论区回复助手,clipmind-agent-xhs-comment-reply,xhs-comment-reply,图文与笔记,"根据评论内容、账号语气和业务边界生成可人工挑选的回复草案。适合处理咨询、质疑、共鸣和负面评论,只提供话术候选,不自动评论。",$clipmind-agent-xhs-comment-reply,2026.05.18,skills/clipmind-agent-xhs-comment-reply/
agent,Agent 内容能力,小红书运营策略专家,clipmind-agent-xhs-strategy,xhs-strategy,图文与笔记,"围绕账号定位、目标用户、选题方向和笔记结构制定小红书运营建议。需要 IP 档案、历史内容或竞品线索,会输出栏目打法、增长动作和资料缺口。",$clipmind-agent-xhs-strategy,2026.05.18,skills/clipmind-agent-xhs-strategy/
agent,Agent 内容能力,小红书选题灵感助手,clipmind-agent-xhs-topic-inspiration,xhs-topic-inspiration,图文与笔记,"从用户痛点、平台热点、账号定位和素材线索里生成小红书选题灵感。适合扩充笔记题库,会给出选题角度、标题方向、素材需求和适合验证的用户情绪。",$clipmind-agent-xhs-topic-inspiration,2026.05.18,skills/clipmind-agent-xhs-topic-inspiration/
agent,Agent 内容能力,复盘归因专家,clipmind-agent-retrospect,retrospect,复盘与汇报,把发布目标、监控数据、人工反馈和内容样本整理成复盘草案。会区分事实、假设、证据缺口、可复用经验和下轮调整建议。,$clipmind-agent-retrospect,2026.05.18,skills/clipmind-agent-retrospect/
agent,Agent 内容能力,客户汇报生成助手,clipmind-agent-client-report,client-report,复盘与汇报,"把项目进展、内容结果、数据观察和下一步计划整理成客户汇报草案。需要事实数据和项目目标,会输出摘要、进展、问题、建议和待确认事项。",$clipmind-agent-client-report,2026.05.18,skills/clipmind-agent-client-report/
agent,Agent 内容能力,数据复盘助手,clipmind-agent-data-review,data-review,复盘与汇报,"把曝光、互动、收藏、评论、私信或成交数据整理成复盘草案。需要数据和内容目标,会输出表现判断、原因假设、补数需求和下一步实验。",$clipmind-agent-data-review,2026.05.18,skills/clipmind-agent-data-review/
agent,Agent 内容能力,方法库沉淀顾问,clipmind-agent-method-builder,method-builder,复盘与汇报,"把复盘中确认有效的经验整理成方法资产候选。需要样本、证据和适用边界,会输出方法名称、步骤、证据来源、限制条件和审核清单。",$clipmind-agent-method-builder,2026.05.18,skills/clipmind-agent-method-builder/
agent,Agent 内容能力,风向变化助手,clipmind-agent-trend-shift-watch,trend-shift-watch,复盘与汇报,"整理平台表达、用户情绪、竞品动作或内容数据里的变化信号。需要样本和时间范围,会输出变化线索、证据强度、影响判断和观察动作。",$clipmind-agent-trend-shift-watch,2026.05.18,skills/clipmind-agent-trend-shift-watch/
agent,Agent 内容能力,小红书爆款拆解助手,clipmind-agent-xhs-viral-breakdown,xhs-viral-breakdown,爆款拆解,"拆解小红书爆款笔记的封面、标题、正文结构、评论反馈和可复用打法。需要样本内容或链接摘要,会输出适配当前账号的复刻建议和不能照搬的风险。",$clipmind-agent-xhs-viral-breakdown,2026.05.18,skills/clipmind-agent-xhs-viral-breakdown/
agent,Agent 内容能力,小红书采集方案助手,clipmind-agent-xhs-collection-plan,xhs-collection-plan,爆款拆解,"为小红书公开样本研究设计人工采集和整理方案。需要研究目标和样本范围,会输出采样维度、记录字段、风险提醒和人工导入建议。",$clipmind-agent-xhs-collection-plan,2026.05.18,skills/clipmind-agent-xhs-collection-plan/
agent,Agent 内容能力,情绪拆解助手,clipmind-agent-emotion-breakdown,emotion-breakdown,爆款拆解,"拆解内容或用户反馈里的情绪触发点,识别焦虑、身份认同、希望、优越感、后悔等表达。需要文本样本和目标用户,会输出情绪地图和内容应用建议。",$clipmind-agent-emotion-breakdown,2026.05.18,skills/clipmind-agent-emotion-breakdown/
agent,Agent 内容能力,抖音采集方案助手,clipmind-agent-douyin-collection-plan,douyin-collection-plan,爆款拆解,"为抖音公开视频样本研究设计人工采集和拆解方案。需要主题、账号范围和分析目标,会输出采样字段、拆解维度和人工复核清单。",$clipmind-agent-douyin-collection-plan,2026.05.18,skills/clipmind-agent-douyin-collection-plan/
agent,Agent 内容能力,爆款视频拆解分析 Agent,clipmind-agent-viral-video-breakdown-analysis,viral-video-breakdown-analysis,爆款拆解,"基于用户提供的视频链接自动获取视频上下文,重点拆解它怎么拍、怎么剪、怎么讲、为什么爆,并生成可人工确认的套路候选和不可照搬边界。",$clipmind-agent-viral-video-breakdown-analysis,2026.05.19,skills/clipmind-agent-viral-video-breakdown-analysis/
agent,Agent 内容能力,视频号采集方案助手,clipmind-agent-wechat-video-collection-plan,wechat-video-collection-plan,爆款拆解,"为视频号公开内容样本研究设计人工采集和整理方案。需要研究目标、样本范围和拆解重点,会输出记录字段、分析维度和风险提醒。",$clipmind-agent-wechat-video-collection-plan,2026.05.18,skills/clipmind-agent-wechat-video-collection-plan/
agent,Agent 内容能力,评论区洞察助手,clipmind-agent-comment-insight,comment-insight,爆款拆解,"从评论文本、私信摘要或社群反馈里提炼用户问题、情绪和转化信号。需要评论样本和内容背景,会输出高频问题、情绪词、选题机会和承接建议。",$clipmind-agent-comment-insight,2026.05.18,skills/clipmind-agent-comment-insight/
agent,Agent 内容能力,B站内容策划助手,clipmind-agent-bilibili-planner,bilibili-planner,短视频脚本,"把专业主题策划成 B站中长视频内容。需要主题、受众基础和资料来源,会产出标题、分 P 结构、讲解重点、资料清单和互动设计。",$clipmind-agent-bilibili-planner,2026.05.18,skills/clipmind-agent-bilibili-planner/
agent,Agent 内容能力,抖音短视频脚本助手,clipmind-agent-douyin-script,douyin-script,短视频脚本,把主题、目标用户和素材整理成适合抖音节奏的短视频脚本。会给出 3 秒开场、分段口播、画面建议、互动引导和人工审核点。,$clipmind-agent-douyin-script,2026.05.18,skills/clipmind-agent-douyin-script/
agent,Agent 内容能力,短视频内容策略专家,clipmind-agent-short-video-strategy,short-video-strategy,短视频脚本,"把 IP 定位、用户痛点和平台节奏转成短视频内容打法。需要阶段目标、用户问题和可拍素材,会产出内容主张、栏目矩阵、脚本方向和素材优先级。",$clipmind-agent-short-video-strategy,2026.05.18,skills/clipmind-agent-short-video-strategy/
agent,Agent 内容能力,脚本与口播优化专家,clipmind-agent-script-polish,script-polish,短视频脚本,"检查脚本结构、开头钩子、口语表达、证据和收口行动。需要原稿或 brief,会输出逐段修改建议、风险提醒和可直接人工改稿的候选文案。",$clipmind-agent-script-polish,2026.05.18,skills/clipmind-agent-script-polish/
agent,Agent 内容能力,视频号人设脚本助手,clipmind-agent-wechat-video-script,wechat-video-script,短视频脚本,"围绕创始人或专家人设生成视频号脚本。需要人设定位、观点主题和客户场景,会输出更稳重可信的口播结构、故事切入和转化承接提醒。",$clipmind-agent-wechat-video-script,2026.05.18,skills/clipmind-agent-wechat-video-script/
agent,Agent 内容能力,长文转短视频脚本助手,clipmind-agent-longform-to-short-video,longform-to-short-video,短视频脚本,"把长文、文章摘要、直播纪要或课程笔记压缩成短视频脚本。需要原文重点、目标用户和平台,会输出短视频主线、开场钩子、分段口播和可拍素材建议。",$clipmind-agent-longform-to-short-video,2026.05.18,skills/clipmind-agent-longform-to-short-video/
agent,Agent 内容能力,事实核查助手,clipmind-agent-fact-check,fact-check,研究与洞察,"检查草稿里的事实、数字、案例和强结论是否有依据。需要草稿和来源材料,会输出已证实、存疑、高风险、建议改写和补证清单。",$clipmind-agent-fact-check,2026.05.18,skills/clipmind-agent-fact-check/
agent,Agent 内容能力,公开资料研究助手,clipmind-agent-public-research,public-research,研究与洞察,"整理用户粘贴的公开网页、文章、视频字幕或资料摘要。会提炼事实、观点、引用线索、可用于内容的证据和需要继续核验的问题,不做爬虫或登录采集。",$clipmind-agent-public-research,2026.05.18,skills/clipmind-agent-public-research/
agent,Agent 内容能力,内容可信度评分助手,clipmind-agent-content-credibility-score,content-credibility-score,研究与洞察,"对草稿的事实依据、引用完整度、案例可信度和夸大风险做评分。需要草稿和证据材料,会输出评分、扣分原因、补证建议和保守改写。",$clipmind-agent-content-credibility-score,2026.05.18,skills/clipmind-agent-content-credibility-score/
agent,Agent 内容能力,引用管理助手,clipmind-agent-citation-manager,citation-manager,研究与洞察,"把用户提供的来源整理成可用于内容或汇报的引用清单。需要链接、标题、发布时间或摘录,会输出引用完整度、缺失项和使用建议。",$clipmind-agent-citation-manager,2026.05.18,skills/clipmind-agent-citation-manager/
agent,Agent 内容能力,用户画像分析助手,clipmind-agent-user-persona-analysis,user-persona-analysis,研究与洞察,从访谈、评论、成交记录或内容互动里整理用户画像。会输出用户层级、痛点、动机、消费能力、内容偏好和需要继续验证的问题。,$clipmind-agent-user-persona-analysis,2026.05.18,skills/clipmind-agent-user-persona-analysis/
agent,Agent 内容能力,用户痛点洞察助手,clipmind-agent-pain-point-insight,pain-point-insight,研究与洞察,从访谈、评论、社群记录或客户 brief 中提炼用户痛点。会区分显性问题、深层动机、情绪词、内容机会和需要继续访谈的问题。,$clipmind-agent-pain-point-insight,2026.05.18,skills/clipmind-agent-pain-point-insight/
agent,Agent 内容能力,竞品账号拆解助手,clipmind-agent-competitor-account-breakdown,competitor-account-breakdown,研究与洞察,"拆解竞品账号的定位、栏目、内容结构、爆款样本和承接方式。需要公开资料或人工整理摘要,会输出可学习点、差异化机会和不建议照搬的边界。",$clipmind-agent-competitor-account-breakdown,2026.05.18,skills/clipmind-agent-competitor-account-breakdown/
agent,Agent 内容能力,舆情分析助手,clipmind-agent-public-opinion-analysis,public-opinion-analysis,研究与洞察,"分析用户提供的公开评论、社群摘要或新闻讨论,识别舆情主题、情绪倾向、风险点和回应建议。第一批只处理用户提供样本。",$clipmind-agent-public-opinion-analysis,2026.05.18,skills/clipmind-agent-public-opinion-analysis/
